episode,timestep,reward
55, 600, -0.0674
108, 1200, -0.2543
166, 1800, -0.0645
219, 2400, -0.0654
279, 3000, -0.0627
339, 3600, -0.0628
395, 4200, -0.0676
454, 4800, -0.0644
518, 5400, -0.0627
577, 6000, -0.0661
636, 6600, -0.0654
694, 7200, -0.2322
758, 7800, -0.0729
823, 8400, -0.0609
884, 9000, -0.0643
942, 9600, -0.0636
1001, 10200, 0.1022
1063, 10800, -0.7086
1124, 11400, -0.0655
1183, 12000, -0.2354
1247, 12600, -0.2174
1310, 13200, -0.0633
1376, 13800, -0.2172
1439, 14400, 0.0964
1503, 15000, -0.0676
1565, 15600, -0.0587
1615, 16200, -0.0848
1670, 16800, -0.4355
1724, 17400, -0.2621
1776, 18000, -0.2649
1827, 18600, -0.2722
1882, 19200, -0.6191
1936, 19800, -0.2516
1989, 20400, 0.3249
2044, 21000, 0.1315
2097, 21600, -0.0517
2145, 22200, 0.1557
2195, 22800, -0.4615
2258, 23400, -0.2285
2316, 24000, -0.0705
2375, 24600, -0.4116
2429, 25200, 0.1203
2490, 25800, 0.2708
2550, 26400, 0.1062
2606, 27000, 0.3154
2667, 27600, -0.0574
2724, 28200, 0.1046
2785, 28800, 0.0952
2836, 29400, 0.1318
2891, 30000, 0.1386
2948, 30600, 0.267
2999, 31200, 0.5502
3052, 31800, 0.1367
3107, 32400, 0.1247
3159, 33000, -0.2563
3213, 33600, 0.1196
3268, 34200, 0.1127
3325, 34800, 0.2804
3373, 35400, 0.1217
3429, 36000, -0.5857
3477, 36600, -0.5085
3528, 37200, 0.7537
3573, 37800, 0.187
3624, 38400, -0.2646
3671, 39000, 0.769
3721, 39600, 0.5233
3772, 40200, 0.9178
3815, 40800, -0.331
3857, 41400, 1.381
3906, 42000, 0.7694
3951, 42600, 0.1449
3998, 43200, 0.3336
4044, 43800, 1.4588
4090, 44400, -0.0769
4137, 45000, -0.4878
4187, 45600, 0.3273
4227, 46200, 2.2174
4271, 46800, 0.1901
4317, 47400, -0.9449
4363, 48000, 0.3767
4408, 48600, 0.4193
4454, 49200, -0.2784
4499, 49800, 1.0307
4546, 50400, -0.923
4603, 51000, 0.1196
4649, 51600, 0.4104
4688, 52200, -0.823
4731, 52800, -0.7052
4775, 53400, 0.8741
4824, 54000, 0.993
4864, 54600, -0.5016
4912, 55200, -0.8351
4962, 55800, 0.2135
5007, 56400, 0.9006
5050, 57000, -0.0423
5096, 57600, 0.8412
5143, 58200, 0.6349
5190, 58800, 1.1621
5235, 59400, 1.1644
5285, 60000, 0.5765
5333, 60600, 0.6212
5377, 61200, 0.5028
5421, 61800, 1.9358
5462, 62400, 0.9995
5512, 63000, 0.4233
5555, 63600, 1.4882
5597, 64200, 1.9565
5636, 64800, 1.1415
5675, 65400, 1.6537
5722, 66000, 1.8343
5762, 66600, 1.4095
5804, 67200, 2.2988
5845, 67800, 2.3891
5887, 68400, 0.2801
5928, 69000, 1.0259
5964, 69600, 1.9268
6005, 70200, 1.6161
6046, 70800, 1.3598
6082, 71400, 1.9708
6121, 72000, 1.3669
6158, 72600, 3.6217
6196, 73200, 2.7897
6232, 73800, 1.7573
6265, 74400, 4.4485
6301, 75000, 2.3223
6338, 75600, 2.952
6381, 76200, 2.674
6418, 76800, 1.2057
6451, 77400, 2.3297
6486, 78000, 3.483
6523, 78600, 1.7005
6564, 79200, 2.0636
6596, 79800, 4.7776
6635, 80400, 0.9634
6671, 81000, 2.7045
6707, 81600, 5.0694
6744, 82200, 0.9533
6780, 82800, 5.4261
6815, 83400, 2.8121
6848, 84000, 5.985
6882, 84600, 2.7084
6922, 85200, 2.2333
6958, 85800, 4.8646
6992, 86400, 1.749
7032, 87000, 2.2219
7070, 87600, 4.2874
7107, 88200, 3.5814
7143, 88800, 4.6148
7181, 89400, 3.7374
7216, 90000, 4.4367
7252, 90600, 1.78
7286, 91200, 5.5434
7326, 91800, 4.3306
7367, 92400, 2.1499
7405, 93000, 2.6545
7444, 93600, 1.7686
7478, 94200, 4.8357
7514, 94800, 4.3611
7550, 95400, 5.407
